subject,sentence,word,N400,N400base,surpSF,surpMYLM,surpGPT2,mylmSU,SU
subj_7,sent_22,in,-1.273371816,1.125746012,4.427998066,2.817268372,1.881675662,0.298324227,0.029956747
subj_7,sent_22,his,-0.894688427,0.620620906,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
subj_7,sent_22,place,-2.167585373,3.244618893,6.9994874,5.825554848,2.069813727,0.266283095,0.025135014
subj_8,sent_22,needed,0.342380941,-2.903554916,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_8,sent_22,putting,3.577680111,-2.927113056,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_8,sent_22,in,6.344660759,-0.49417913,4.427998066,2.817268372,1.881675662,0.298324227,0.029956747
subj_8,sent_22,his,-0.922504187,1.780953407,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
subj_9,sent_22,in,7.216733456,4.04378891,4.427998066,2.817268372,1.881675662,0.298324227,0.029956747
subj_9,sent_22,his,0.01093569,3.331422329,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
subj_9,sent_22,place,0.791081905,3.134531498,6.9994874,5.825554848,2.069813727,0.266283095,0.025135014
subj_10,sent_22,needed,-0.345724732,-0.203720659,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_10,sent_22,putting,-0.807434916,2.370283127,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_10,sent_22,in,4.199302673,0.071216717,4.427998066,2.817268372,1.881675662,0.298324227,0.029956747
subj_10,sent_22,his,-0.597054422,-0.324922949,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
subj_10,sent_22,place,2.77716732,-6.207873344,6.9994874,5.825554848,2.069813727,0.266283095,0.025135014
subj_11,sent_22,needed,0.860381424,1.25485599,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_11,sent_22,putting,0.28186202,-4.474387169,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_11,sent_22,in,0.586269557,2.507733345,4.427998066,2.817268372,1.881675662,0.298324227,0.029956747
subj_11,sent_22,his,3.50420332,1.99300766,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
subj_11,sent_22,place,3.325024128,-5.253708363,6.9994874,5.825554848,2.069813727,0.266283095,0.025135014
subj_12,sent_22,needed,-2.741407394,6.812020779,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_12,sent_22,putting,-1.136061549,-4.99697876,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_12,sent_22,in,1.285791397,-0.662219524,4.427998066,2.817268372,1.881675662,0.298324227,0.029956747
subj_12,sent_22,his,3.267878294,-4.62244606,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
subj_12,sent_22,place,5.614483833,-4.476203442,6.9994874,5.825554848,2.069813727,0.266283095,0.025135014
subj_13,sent_22,needed,0.633489132,-0.694181383,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_13,sent_22,putting,-0.941113651,-2.941709042,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_13,sent_22,in,4.330826283,-0.109544337,4.427998066,2.817268372,1.881675662,0.298324227,0.029956747
subj_13,sent_22,his,-3.383730412,-3.624019861,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
subj_13,sent_22,place,2.54668045,-5.150024414,6.9994874,5.825554848,2.069813727,0.266283095,0.025135014
subj_14,sent_22,needed,-1.196716785,-13.06969833,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_14,sent_22,putting,0.073135413,-0.971599281,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_15,sent_22,needed,-2.811933279,1.288566232,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_15,sent_22,putting,2.079558372,-8.29652977,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_15,sent_22,in,0.006261921,-2.728420496,4.427998066,2.817268372,1.881675662,0.298324227,0.029956747
subj_15,sent_22,his,-3.585114479,5.405250072,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
subj_15,sent_22,place,1.785758018,-0.495106399,6.9994874,5.825554848,2.069813727,0.266283095,0.025135014
subj_16,sent_22,needed,-0.62134254,-7.453587532,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_16,sent_22,putting,-3.10732007,3.432757378,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_16,sent_22,in,-0.410965085,8.929238319,4.427998066,2.817268372,1.881675662,0.298324227,0.029956747
subj_16,sent_22,his,5.873582363,-9.050853729,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
subj_16,sent_22,place,1.750846505,-2.429543972,6.9994874,5.825554848,2.069813727,0.266283095,0.025135014
subj_17,sent_22,needed,-1.156798005,-9.521501541,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_17,sent_22,putting,-1.862491965,2.122306108,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_17,sent_22,in,-3.024140835,10.23364067,4.427998066,2.817268372,1.881675662,0.298324227,0.029956747
subj_17,sent_22,his,-2.886889935,-5.336294174,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
subj_17,sent_22,place,1.44959712,4.773705959,6.9994874,5.825554848,2.069813727,0.266283095,0.025135014
subj_18,sent_22,needed,2.972243309,-0.361654431,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_18,sent_22,putting,-3.352711201,3.256903172,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_18,sent_22,in,2.265554667,-2.106409073,4.427998066,2.817268372,1.881675662,0.298324227,0.029956747
subj_18,sent_22,his,-0.916700006,-2.482236862,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
subj_18,sent_22,place,5.122682095,0.071522988,6.9994874,5.825554848,2.069813727,0.266283095,0.025135014
subj_19,sent_22,needed,-4.153680325,0.449339718,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_19,sent_22,putting,-3.491915226,-0.974906981,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_19,sent_22,place,-11.20758057,-8.414090157,6.9994874,5.825554848,2.069813727,0.266283095,0.025135014
subj_22,sent_22,needed,0.189839676,-1.68186605,6.319876671,7.840075493,8.296668989,0.279811233,0.100638516
subj_22,sent_22,putting,-7.263233662,-1.392234445,9.566472054,10.01800442,10.95810507,0.233352631,0.065815561
subj_22,sent_22,his,-9.628214836,-0.262488455,3.855064154,2.848937035,3.074688002,0.296699643,0.015689641
