stim_id,dataset,critical_word,word_length,word_position,zipf_freq,log10_word_freq,coltheart_n
1228,frank_2015,am,2,1,5.78,-3.2196819676374244,27
1229,frank_2015,touched,7,2,4.3,-4.698948290154774,3
1230,frank_2015,deeply,6,3,4.44,-4.560651513930252,0
1231,frank_2015,in,2,4,7.27,-1.7304870324329187,14
1232,frank_2015,places,6,5,5.03,-3.9706121635068232,3
1233,frank_2015,felt,4,1,5.13,-3.8696630145207465,16
1234,frank_2015,his,3,2,6.51,-2.4894548557519016,15
1235,frank_2015,anger,5,3,4.42,-4.580027738726,7
1236,frank_2015,build,5,4,5.04,-3.958603366728067,2
1237,frank_2015,up,2,5,6.39,-2.61083373837245,7
1238,frank_2015,needed,6,1,5.18,-3.8210201765939575,4
1239,frank_2015,putting,7,2,4.86,-4.140255435301712,6
1240,frank_2015,in,2,3,7.27,-1.7304870324329187,14
1241,frank_2015,his,3,4,6.51,-2.4894548557519016,15
1242,frank_2015,place,5,5,5.71,-3.2898817883110714,10
1243,frank_2015,give,4,1,5.71,-3.2898817883110714,13
1244,frank_2015,him,3,2,6.11,-2.8894099530384927,26
1245,frank_2015,more,4,3,6.36,-2.6401643280119083,33
1246,frank_2015,than,4,4,6.13,-2.8696659098054966,22
1247,frank_2015,a,1,5,7.36,-1.640164498695288,51
1248,frank_2015,slap,4,6,3.97,-5.030071810571884,22
1249,frank_2015,will,4,1,6.45,-2.549750737675531,29
1250,frank_2015,be,2,2,6.79,-2.2097147655786795,23
1251,frank_2015,listening,9,3,4.66,-4.340074296872592,0
1252,frank_2015,for,3,4,7.01,-1.9913997856601942,29
1253,frank_2015,sure,4,5,5.67,-3.329753218947205,21
1254,frank_2015,sat,3,1,4.64,-4.3595086250544535,56
1255,frank_2015,back,4,2,6.04,-2.9586069200287892,22
1256,frank_2015,down,4,3,5.88,-3.1197576519119035,16
1257,frank_2015,and,3,4,7.41,-1.5900668597700878,15
1258,frank_2015,shivered,8,5,2.4,-6.598599459218456,1
1259,frank_2015,couldn't,8,1,5.09,-3.9100913577255088,0
1260,frank_2015,help,4,2,5.75,-3.2502629116656445,7
1261,frank_2015,feel,4,3,5.67,-3.329753218947205,15
1262,frank_2015,for,3,4,7.01,-1.9913997856601942,29
1263,frank_2015,Alex,4,5,4.62,-4.379853530415341,14
1264,frank_2015,riding,6,1,4.49,-4.510027465964983,7
1265,frank_2015,out,3,2,6.38,-2.6197885773323977,22
1266,frank_2015,to,2,3,7.43,-1.570247703852816,37
1267,frank_2015,meet,4,4,5.27,-3.730484720871791,14
1268,frank_2015,them,4,5,6.19,-2.8096680216398107,10
1269,frank_2015,like,4,1,6.41,-2.5900667076825585,24
1270,frank_2015,a,1,2,7.36,-1.640164498695288,51
1271,frank_2015,walk,4,3,5.08,-3.920815134846772,17
1272,frank_2015,did,3,4,5.96,-3.040004685471755,25
1273,frank_2015,the,3,5,7.73,-1.270025706213024,14
1274,frank_2015,trick,5,6,4.48,-4.51997867666895,15
1275,frank_2015,sat,3,1,4.64,-4.3595086250544535,56
1276,frank_2015,down,4,2,5.88,-3.1197576519119035,16
1277,frank_2015,to,2,3,7.43,-1.570247703852816,37
1278,frank_2015,eat,3,4,5.13,-3.8696630145207465,34
1279,frank_2015,his,3,5,6.51,-2.4894548557519016,15
1280,frank_2015,lunch,5,6,4.66,-4.340074296872592,11
1281,frank_2015,campaign,8,1,5.0,-3.9999956570768953,0
1282,frank_2015,will,4,2,6.45,-2.549750737675531,29
1283,frank_2015,pay,3,3,5.4,-3.6003245482655086,43
1284,frank_2015,for,3,4,7.01,-1.9913997856601942,29
1285,frank_2015,itself,6,5,5.1,-3.899626008114512,0
